[ 2014-12-19T17:17:40+08:00 ] /gisproject/admin.php/Index/index/adminname/ruby97 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001121s ]
[ 2014-12-19T17:17:40+08:00 ] /gisproject/admin.php/Index/index/adminname/ruby97 | INFO: Run ShowRuntime Behavior [ RunTime:0.002039s ]
[ 2014-12-19T17:17:40+08:00 ] /gisproject/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006826s ]
[ 2014-12-19T17:17:40+08:00 ] /gisproject/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ view_end ] --START--
[ 2014-12-19T17:17:40+08:00 ] /gisproject/admin.php/Index/index/adminname/ruby97 | INFO: Run ShowPageTrace Behavior [ RunTime:0.002095s ]
[ 2014-12-19T17:17:40+08:00 ] /gisproject/admin.php/Index/index/adminname/ruby97 | INFO: Tag[ view_end ] --END-- [ RunTime:0.002322s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.015392s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.015774s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002450s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002680s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.004013s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.004253s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | NOTIC: [8] Undefined variable: title 4c18d5952d0dbf1eedb8a1ec796fa788.php 第 5 行.
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.041403s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.041617s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.002828s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.001757s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001264s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.002164s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008705s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Run ShowPageTrace Behavior [ RunTime:0.002004s ]
[ 2014-12-19T17:17:41+08:00 ] /gisproject/admin.php/Index/index/adminname/resources/images/closelabel.gif | INFO: Tag[ view_end ] --END-- [ RunTime:0.002209s ]
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ route_check ] --START--
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run CheckRoute Behavior [ RunTime:0.003449s ]
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ route_check ] --END-- [ RunTime:0.003774s ]
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ app_begin ] --START--
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run ReadHtmlCache Behavior [ RunTime:0.005161s ]
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ app_begin ] --END-- [ RunTime:0.005420s ]
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | SQL: SHOW COLUMNS FROM `tb_user` [ RunTime:0.121183s ]
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | SQL: SELECT COUNT(*) AS tp_count FROM `tb_user` LIMIT 1   [ RunTime:0.024596s ]
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | SQL: SELECT `userid`,`username`,`useremail` FROM `tb_user` ORDER BY userid asc LIMIT 0,5   [ RunTime:0.052445s ]
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_template ] --START--
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run LocationTemplate Behavior [ RunTime:0.004956s ]
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_template ] --END-- [ RunTime:0.005151s ]
[ 2014-12-19T17:17:44+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_parse ] --START--
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run ParseTemplate Behavior [ RunTime:0.131308s ]
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_parse ] --END-- [ RunTime:0.131548s ]
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_filter ] --START--
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run ContentReplace Behavior [ RunTime:0.001636s ]
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run TokenBuild Behavior [ RunTime:0.001536s ]
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000985s ]
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run ShowRuntime Behavior [ RunTime:0.001829s ]
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006524s ]
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_end ] --START--
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Run ShowPageTrace Behavior [ RunTime:0.002648s ]
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/showmanageuser | INFO: Tag[ view_end ] --END-- [ RunTime:0.002894s ]
[ 2014-12-19T17:17:45+08:00 ] /gisproject/admin.php/Index/resources/images/closelabel.gif | ERR: (ThinkException) 非法操作resources
[ 2014-12-19T17:19:05+08:00 ] /gisproject/admin.php/Index/showmanagegis | INFO: Tag[ route_check ] --START--
[ 2014-12-19T17:19:05+08:00 ] /gisproject/admin.php/Index/showmanagegis | INFO: Run CheckRoute Behavior [ RunTime:0.003510s ]
[ 2014-12-19T17:19:05+08:00 ] /gisproject/admin.php/Index/showmanagegis | INFO: Tag[ route_check ] --END-- [ RunTime:0.003865s ]
[ 2014-12-19T17:19:05+08:00 ] /gisproject/admin.php/Index/showmanagegis | INFO: Tag[ app_begin ] --START--
[ 2014-12-19T17:19:05+08:00 ] /gisproject/admin.php/Index/showmanagegis | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002311s ]
[ 2014-12-19T17:19:05+08:00 ] /gisproject/admin.php/Index/showmanagegis | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002518s ]
[ 2014-12-19T17:19:05+08:00 ] /gisproject/admin.php/Index/showmanagegis | SQL: SHOW COLUMNS FROM `tb_point` [ RunTime:0.013033s ]
[ 2014-12-19T17:19:05+08:00 ] /gisproject/admin.php/Index/showmanagegis | SQL: SELECT COUNT(*) AS tp_count FROM `tb_point` LIMIT 1   [ RunTime:0.004998s ]
