[ 2014-11-14T09:31:16+08:00 ] /test/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001488s ]
[ 2014-11-14T09:31:16+08:00 ] /test/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000902s ]
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.002229s ]
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.007676s ]
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002315s ]
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002517s ]
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Common/verify/ | INFO: Tag[ route_check ] --START--
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Common/verify/ | INFO: Run CheckRoute Behavior [ RunTime:0.002389s ]
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Common/verify/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.002627s ]
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Common/verify/ | INFO: Tag[ app_begin ] --START--
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Common/verify/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001540s ]
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Common/verify/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001695s ]
[ 2014-11-14T09:31:17+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
