[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Run TokenBuild Behavior [ RunTime:0.001204s ]
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000739s ]
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001576s ]
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004993s ]
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_end ] --START--
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001368s ]
[ 2014-11-10T10:22:11+08:00 ] /test/admin.php/Login/index/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001510s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.002704s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.002951s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001739s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001892s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --START--
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run CheckRoute Behavior [ RunTime:0.004218s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ route_check ] --END-- [ RunTime:0.004442s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --START--
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ReadHtmlCache Behavior [ RunTime:0.003352s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ app_begin ] --END-- [ RunTime:0.003515s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --START--
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run LocationTemplate Behavior [ RunTime:0.004864s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_template ] --END-- [ RunTime:0.005061s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --START--
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ParseTemplate Behavior [ RunTime:0.064233s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_parse ] --END-- [ RunTime:0.064413s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --START--
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ContentReplace Behavior [ RunTime:0.002650s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run TokenBuild Behavior [ RunTime:0.003030s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run WriteHtmlCache Behavior [ RunTime:0.002280s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Run ShowRuntime Behavior [ RunTime:0.003293s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011614s ]
[ 2014-11-10T10:22:12+08:00 ] /test/admin.php/Login/index/resources/images/closelabel.gif | INFO: Tag[ view_end ] --START--
