[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | INFO: Tag[ view_template ] --START--
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | INFO: Run LocationTemplate Behavior [ RunTime:0.006451s ]
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | INFO: Tag[ view_template ] --END-- [ RunTime:0.006651s ]
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | INFO: Tag[ view_parse ] --START--
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [8] Undefined index:  YEAR(timestamp) d905fa226dcca70930b221a066882f2b.php 第 22 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [8] Undefined index:  AsText(point) d905fa226dcca70930b221a066882f2b.php 第 26 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [8] Undefined index:  name d905fa226dcca70930b221a066882f2b.php 第 46 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [8] Undefined index:  YEAR(timestamp) d905fa226dcca70930b221a066882f2b.php 第 22 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [8] Undefined index:  AsText(point) d905fa226dcca70930b221a066882f2b.php 第 26 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [8] Undefined index:  name d905fa226dcca70930b221a066882f2b.php 第 46 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [8] Undefined index:  YEAR(timestamp) d905fa226dcca70930b221a066882f2b.php 第 22 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [8] Undefined index:  AsText(point) d905fa226dcca70930b221a066882f2b.php 第 26 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [8] Undefined index:  name d905fa226dcca70930b221a066882f2b.php 第 46 行.
[ 2015-02-13T00:00:34+08:00 ] /gisproject/admin.php/Index/showaltergis/timestamp/2015/point/POINT(123.434063%2041.858121)/type/%E6%99%AF%E7%82%B9/name/%E5%8C%97%E9%99%B5 | NOTIC: [8] Undefined index:  YEAR(timestamp) d905fa226dcca70930b221a066882f2b.php 第 22 行.
